Epoch,loss,binary_accuracy,auc,true_positives,true_negatives,false_positives,false_negatives,val_loss,val_binary_accuracy,val_auc,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,freezed_layer
0,0.525295138,0.739855886,0.816063344,1951,1951,686,686,0.608541191,0.684848487,0.789576471,452,452,208,208,130
1,0.425930023,0.798634827,0.885813594,2106,2106,531,531,0.409668714,0.790909111,0.891875625,522,522,138,138,130
2,0.394918889,0.819871068,0.902516842,2162,2162,475,475,0.389815509,0.804545462,0.903472245,531,531,129,129,130
3,0.376872897,0.825559318,0.911663771,2177,2177,460,460,0.404796302,0.806060612,0.89530766,532,532,128,128,130
4,0.369378924,0.832006097,0.914909661,2194,2194,443,443,0.378270268,0.827272713,0.909466267,546,546,114,114,130
5,0.360999405,0.838832021,0.919609845,2212,2212,425,425,0.386292636,0.816666663,0.906680405,539,539,121,121,130
6,0.342721254,0.844899535,0.927542984,2228,2228,409,409,0.368144512,0.825757563,0.915128589,545,545,115,115,130
7,0.345078826,0.839969635,0.92644465,2215,2215,422,422,0.382434219,0.822727263,0.909186065,543,543,117,117,130
8,0.356066674,0.839969635,0.921367943,2215,2215,422,422,0.361518532,0.831818163,0.918195605,549,549,111,111,130
9,0.34074825,0.848691702,0.928151548,2238,2238,399,399,0.360335439,0.828787863,0.918421745,547,547,113,113,130
0,0.438458055,0.805839956,0.887757182,2125,2125,512,512,0.541438043,0.795454562,0.885603666,525,525,135,135,125
1,0.27729845,0.873720109,0.953010499,2304,2304,333,333,0.404235482,0.834848464,0.921895146,551,551,109,109,125
2,0.240678191,0.894197941,0.964408696,2358,2358,279,279,0.406838119,0.818181813,0.92143935,540,540,120,120,125
3,0.212495133,0.905195296,0.97239989,2387,2387,250,250,0.357714653,0.833333313,0.927316308,550,550,110,110,125
4,0.17848815,0.924535453,0.980571091,2438,2438,199,199,0.304312289,0.869696975,0.946522057,574,574,86,86,125
5,0.153539255,0.930982172,0.985321403,2455,2455,182,182,0.46122548,0.830303013,0.922303677,548,548,112,112,125
6,0.130815789,0.946150959,0.989598453,2495,2495,142,142,0.395745009,0.845454574,0.929312468,558,558,102,102,125
7,0.138142586,0.943875611,0.987954319,2489,2489,148,148,0.392171651,0.871212125,0.946588635,575,575,85,85,125
8,0.113482915,0.952218413,0.991817296,2511,2511,126,126,0.453275681,0.839393914,0.928713262,554,554,106,106,125
9,0.109593786,0.954493761,0.992679715,2517,2517,120,120,0.393335044,0.853030324,0.935748219,563,563,97,97,125
0,0.41142121,0.805839956,0.894800663,2125,2125,512,512,0.431344748,0.766666651,0.876174212,506,506,154,154,120
1,0.276496917,0.875995457,0.952668846,2310,2310,327,327,0.59310019,0.7590909,0.853996873,501,501,159,159,120
2,0.244491443,0.893060267,0.963197231,2355,2355,282,282,0.302535236,0.859090924,0.943521559,567,567,93,93,120
3,0.204642475,0.909745932,0.974012136,2399,2399,238,238,0.320439517,0.853030324,0.938619077,563,563,97,97,120
4,0.192990348,0.909745932,0.976819456,2399,2399,238,238,0.31603235,0.862121224,0.946833253,569,569,91,91,120
5,0.173180342,0.92832762,0.981959641,2448,2448,189,189,0.478193074,0.804545462,0.896387696,531,531,129,129,120
6,0.158120424,0.933636725,0.984669864,2462,2462,175,175,0.320880681,0.874242425,0.95025146,577,577,83,83,120
7,0.139122471,0.943117201,0.987875938,2487,2487,150,150,0.325794697,0.869696975,0.951118052,574,574,86,86,120
8,0.124628767,0.951460004,0.990582705,2509,2509,128,128,0.449878395,0.851515174,0.934815407,562,562,98,98,120
9,0.110904776,0.954872966,0.992393315,2518,2518,119,119,0.482201904,0.793939412,0.885546386,524,524,136,136,120
0,0.397189617,0.80697763,0.897602081,2128,2128,509,509,0.377560318,0.842424214,0.934760094,556,556,104,104,115
1,0.282643229,0.877133131,0.9519611,2313,2313,324,324,0.39933461,0.793939412,0.904209018,524,524,136,136,115
2,0.235115632,0.897990167,0.965873957,2368,2368,269,269,0.305516839,0.848484874,0.941934109,560,560,100,100,115
3,0.20756951,0.909745932,0.974122822,2399,2399,238,238,0.383427233,0.857575774,0.936118066,566,566,94,94,115
4,0.171066657,0.92263937,0.981933773,2433,2433,204,204,0.330873996,0.874242425,0.952667654,577,577,83,83,115
5,0.146250784,0.936670482,0.986630678,2470,2470,167,167,0.42891264,0.878787875,0.946644723,580,580,80,80,115
6,0.129427046,0.948047042,0.989275455,2500,2500,137,137,0.381795198,0.845454574,0.934655666,558,558,102,102,115
7,0.119821042,0.952597678,0.990754128,2512,2512,125,125,0.49089551,0.877272725,0.935121715,579,579,81,81,115
8,0.103014126,0.959802806,0.993301272,2531,2531,106,106,0.361455411,0.865151525,0.949544311,571,571,89,89,115
9,0.094680436,0.964732647,0.994036913,2544,2544,93,93,0.402944356,0.872727275,0.9431566,576,576,84,84,115
0,0.413221002,0.81266588,0.896744967,2143,2143,494,494,0.913597703,0.725757599,0.827284217,479,479,181,181,110
1,0.284759939,0.866894186,0.949937165,2286,2286,351,351,0.328660756,0.865151525,0.944008231,571,571,89,89,110
2,0.233256653,0.890405774,0.966219485,2348,2348,289,289,0.387462646,0.863636374,0.940696716,570,570,90,90,110
3,0.193432197,0.917330325,0.977841079,2419,2419,218,218,0.402436584,0.851515174,0.939880669,562,562,98,98,110
4,0.16346705,0.930982172,0.983610809,2455,2455,182,182,0.4005256,0.856060624,0.932884514,565,565,95,95,110
5,0.139474928,0.947288573,0.987744629,2498,2498,139,139,0.392707258,0.878787875,0.946350932,580,580,80,80,110
6,0.102944009,0.957527518,0.993412971,2525,2525,112,112,0.602600634,0.843939424,0.919781804,557,557,103,103,110
7,0.100082517,0.963594973,0.993380308,2541,2541,96,96,0.543124199,0.860606074,0.924304366,568,568,92,92,110
8,0.087820373,0.963974237,0.994859517,2542,2542,95,95,0.504970968,0.883333325,0.941402674,583,583,77,77,110
9,0.091582447,0.964732647,0.994140923,2544,2544,93,93,0.51845479,0.860606074,0.936851442,568,568,92,92,110
0,0.392356575,0.805460751,0.901960671,2124,2124,513,513,1.330556154,0.727272749,0.802403569,480,480,180,180,105
1,0.256911039,0.887751222,0.959635437,2341,2341,296,296,0.969597101,0.786363661,0.853717923,519,519,141,141,105
2,0.233345613,0.898369372,0.966849506,2369,2369,268,268,0.349146813,0.851515174,0.941709161,562,562,98,98,105
3,0.185529917,0.91695106,0.978791773,2418,2418,219,219,0.380645722,0.853030324,0.945064247,563,563,97,97,105
4,0.161843121,0.934395134,0.984041929,2464,2464,173,173,0.317325503,0.878787875,0.952486157,580,580,80,80,105
5,0.130300805,0.946530163,0.989361465,2496,2496,141,141,0.409532636,0.865151525,0.938779771,571,571,89,89,105
6,0.123245917,0.949184656,0.990196764,2503,2503,134,134,0.402613372,0.868181825,0.939653397,573,573,87,87,105
7,0.103680506,0.962078094,0.992799401,2537,2537,100,100,0.460391223,0.878787875,0.943638563,580,580,80,80,105
8,0.091548376,0.963974237,0.994598567,2542,2542,95,95,0.538363159,0.871212125,0.935647249,575,575,85,85,105
9,0.07940758,0.968524814,0.995542586,2554,2554,83,83,0.338136256,0.875757575,0.955856264,578,578,82,82,105
0,0.410671413,0.791429639,0.892921686,2087,2087,550,550,0.440236419,0.856060624,0.937773108,565,565,95,95,100
1,0.266908348,0.879408419,0.956251264,2319,2319,318,318,0.325289279,0.866666675,0.940377653,572,572,88,88,100
2,0.230746493,0.896852493,0.967181265,2365,2365,272,272,0.372162223,0.871212125,0.944385946,575,575,85,85,100
3,0.20194453,0.912779689,0.975216389,2407,2407,230,230,0.41676867,0.848484874,0.924236655,560,560,100,100,100
4,0.168065831,0.934774339,0.982730448,2465,2465,172,172,0.298640877,0.880303025,0.954194307,581,581,79,79,100
5,0.126725554,0.94956392,0.989231467,2504,2504,133,133,0.366972357,0.875757575,0.946597874,578,578,82,82,100
6,0.107881725,0.959423602,0.992542744,2530,2530,107,107,0.406629026,0.865151525,0.944609702,571,571,89,89,100
7,0.100100003,0.960561216,0.993269265,2533,2533,104,104,0.343436718,0.878787875,0.945909142,580,580,80,80,100
8,0.076690294,0.973454654,0.995750189,2567,2567,70,70,0.457944781,0.869696975,0.938520432,574,574,86,86,100
9,0.06154656,0.976867676,0.997634172,2576,2576,61,61,0.823908865,0.831818163,0.888030291,549,549,111,111,100
0,0.401638269,0.815320432,0.898418009,2150,2150,487,487,0.868005157,0.703030288,0.832342744,464,464,196,196,95
1,0.274959177,0.876374662,0.95359838,2311,2311,326,326,0.377437025,0.863636374,0.931225896,570,570,90,90,95
2,0.231079012,0.897231698,0.967525601,2366,2366,271,271,0.33205387,0.857575774,0.940136671,566,566,94,94,95
3,0.187066361,0.918847203,0.97811991,2423,2423,214,214,0.765298605,0.787878811,0.884944916,520,520,140,140,95
4,0.150094017,0.937808096,0.986065865,2473,2473,164,164,0.288740724,0.880303025,0.955350101,581,581,79,79,95
5,0.141301498,0.943875611,0.987383246,2489,2489,148,148,0.405185759,0.839393914,0.929995418,554,554,106,106,95
6,0.116720885,0.954872966,0.991358519,2518,2518,119,119,0.372729808,0.862121224,0.935321331,569,569,91,91,95
7,0.093523279,0.963594973,0.993888617,2541,2541,96,96,0.573932886,0.856060624,0.92786032,565,565,95,95,95
8,0.086165406,0.967387199,0.994479895,2551,2551,86,86,0.359786838,0.869696975,0.947628617,574,574,86,86,95
9,0.072627731,0.974971533,0.996515334,2571,2571,66,66,0.445299506,0.857575774,0.940075755,566,566,94,94,95
0,0.415734649,0.814941227,0.892090976,2149,2149,488,488,0.431894213,0.851515174,0.923397601,562,562,98,98,90
1,0.27975443,0.868411064,0.951958477,2290,2290,347,347,0.594939053,0.851515174,0.923445761,562,562,98,98,90
2,0.217249945,0.908608258,0.97118479,2396,2396,241,241,0.388270557,0.860606074,0.93727845,568,568,92,92,90
3,0.179266229,0.912779689,0.979716003,2407,2407,230,230,0.299109071,0.863636374,0.946142018,570,570,90,90,90
4,0.198160738,0.919226408,0.975828469,2424,2424,213,213,0.32316348,0.853030324,0.944188476,563,563,97,97,90
5,0.153171822,0.932499051,0.985526264,2459,2459,178,178,0.575071335,0.812121212,0.908352852,536,536,124,124,90
6,0.113516517,0.950701535,0.991767287,2507,2507,130,130,0.459956586,0.831818163,0.91328162,549,549,111,111,90
7,0.090484038,0.966249526,0.994619966,2548,2548,89,89,0.358677775,0.874242425,0.951285601,577,577,83,83,90
8,0.071697831,0.974592328,0.996236444,2570,2570,67,67,0.770954192,0.840909064,0.908817768,555,555,105,105,90
9,0.074592628,0.971937835,0.996103585,2563,2563,74,74,0.401827723,0.886363626,0.950006962,585,585,75,75,90
0,0.391057163,0.815699637,0.904338956,2151,2151,486,486,0.379908562,0.830303013,0.922172904,548,548,112,112,85
1,0.263881832,0.882821381,0.957594454,2328,2328,309,309,0.357215315,0.845454574,0.929446757,558,558,102,102,85
2,0.23180595,0.897610903,0.966811657,2367,2367,270,270,0.487048388,0.789393961,0.895883858,521,521,139,139,85
