Epoch,loss,binary_accuracy,auc,true_positives,true_negatives,false_positives,false_negatives,val_loss,val_binary_accuracy,val_auc,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,freezed_layer
0,0.663905799,0.73530525,0.803909004,1939,1939,698,698,255.2966614,0.545454562,0.545454502,360,360,300,300,45
1,0.413953573,0.803943872,0.890801966,2120,2120,517,517,2.417704582,0.453030288,0.457148761,299,299,361,361,45
2,0.404611379,0.806219161,0.894526958,2126,2126,511,511,1.761426568,0.457575768,0.620734632,302,302,358,358,45
3,0.393292069,0.807356834,0.899947286,2129,2129,508,508,9.540088654,0.454545468,0.454545438,300,300,360,360,45
4,0.379228562,0.821387947,0.908426523,2166,2166,471,471,4.036402225,0.580303013,0.618430912,383,383,277,277,45
5,0.38147983,0.818733394,0.90776968,2159,2159,478,478,2.342189074,0.454545468,0.568000436,300,300,360,360,45
6,0.377985388,0.816837311,0.908497572,2154,2154,483,483,6.102229595,0.454545468,0.454545438,300,300,360,360,45
7,0.386996478,0.817974985,0.903834581,2157,2157,480,480,4.826842308,0.454545468,0.45523417,300,300,360,360,45
8,0.363232911,0.832385302,0.916417718,2195,2195,442,442,1.679012775,0.454545468,0.590674937,300,300,360,360,45
9,0.36015439,0.829730749,0.916328728,2188,2188,449,449,37.26588058,0.454545468,0.454545438,300,300,360,360,45
0,0.844399571,0.6351915,0.687503815,1675,1675,962,962,36.08177567,0.454545468,0.454545438,300,300,360,360,41
1,0.444372505,0.783466041,0.868969738,2066,2066,571,571,61.61621857,0.545454562,0.545454502,360,360,300,300,41
2,0.415959388,0.79560107,0.888537407,2098,2098,539,539,30.98849678,0.545454562,0.545454502,360,360,300,300,41
3,0.413603097,0.794463396,0.889520824,2095,2095,542,542,19.44493103,0.545454562,0.545454502,360,360,300,300,41
4,0.400994867,0.798255622,0.893761337,2105,2105,532,532,3.632050753,0.557575762,0.604449034,368,368,292,292,41
5,0.378749371,0.816078901,0.906661689,2152,2152,485,485,18.63997841,0.545454562,0.545454502,360,360,300,300,41
6,0.389998078,0.810011387,0.901526272,2136,2136,501,501,1.642706633,0.454545468,0.49884066,300,300,360,360,41
7,0.407842278,0.804702342,0.896300435,2122,2122,515,515,13.28680325,0.545454562,0.545454502,360,360,300,300,41
8,0.392566174,0.802426994,0.898909032,2116,2116,521,521,20.90302658,0.545454562,0.545454502,360,360,300,300,41
9,0.373394936,0.816837311,0.910034776,2154,2154,483,483,0.757640123,0.454545468,0.493861318,300,300,360,360,41
0,0.847826779,0.67349261,0.713855445,1776,1776,861,861,44.28623962,0.545454562,0.545454502,360,360,300,300,37
1,0.422042847,0.803564668,0.885164499,2119,2119,518,518,3.337598085,0.546969712,0.572472453,361,361,299,299,37
2,0.410933793,0.808115304,0.893666208,2131,2131,506,506,4.032317162,0.459090918,0.462339282,303,303,357,357,37
3,0.391860068,0.814182758,0.902974248,2147,2147,490,490,17.67637825,0.545454562,0.545454502,360,360,300,300,37
4,0.38742438,0.815699637,0.903747857,2151,2151,486,486,18.73418999,0.545454562,0.545454502,360,360,300,300,37
5,0.387509048,0.807356834,0.903678596,2129,2129,508,508,4.531823158,0.454545468,0.454545438,300,300,360,360,37
6,0.387104303,0.818354189,0.906407177,2158,2158,479,479,1.791199088,0.454545468,0.519423783,300,300,360,360,37
7,0.383531809,0.818733394,0.905043483,2159,2159,478,478,3.782195091,0.454545468,0.454545438,300,300,360,360,37
8,0.366286546,0.82328403,0.914400995,2171,2171,466,466,0.737116516,0.454545468,0.611457765,300,300,360,360,37
9,0.365192026,0.826696992,0.915200591,2180,2180,457,457,0.689077079,0.477272719,0.599467456,315,315,345,345,37
0,0.58238399,0.721653402,0.801398277,1903,1903,734,734,10.66070938,0.545454562,0.545454502,360,360,300,300,33
1,0.418058008,0.802806199,0.886598229,2117,2117,520,520,4.57224369,0.454545468,0.454545438,300,300,360,360,33
2,0.406354517,0.807736039,0.892662168,2130,2130,507,507,7.692559719,0.454545468,0.454545438,300,300,360,360,33
3,0.380883008,0.813424349,0.906223536,2145,2145,492,492,1.09149909,0.456060618,0.610319138,301,301,359,359,33
4,0.370665818,0.816837311,0.90974158,2154,2154,483,483,1.869552851,0.456060618,0.62788558,301,301,359,359,33
5,0.378461391,0.816837311,0.908020675,2154,2154,483,483,1.080466986,0.636363626,0.702642381,420,420,240,240,33
6,0.36606136,0.830868423,0.914765418,2191,2191,446,446,2.046540976,0.477272719,0.633094609,315,315,345,345,33
7,0.374948621,0.815699637,0.910972357,2151,2151,486,486,0.802094877,0.7409091,0.739557981,489,489,171,171,33
8,0.358413905,0.824421704,0.916835368,2174,2174,463,463,1.158246875,0.731818199,0.806347609,483,483,177,177,33
9,0.350491524,0.82897234,0.920762122,2186,2186,451,451,1.072326422,0.783333361,0.83680439,517,517,143,143,33
