Epoch,loss,binary_accuracy,auc,true_positives,true_negatives,false_positives,false_negatives,val_loss,val_binary_accuracy,val_auc,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,freezed_layer
0,0.525792658,0.727720916,0.811108947,1919,1919,718,718,0.358991146,0.827272713,0.919246972,546,546,114,114,14
1,0.369730681,0.829351544,0.913276911,2187,2187,450,450,0.354985386,0.830303013,0.920344472,548,548,112,112,14
2,0.3475371,0.835039794,0.922951639,2202,2202,435,435,0.366354078,0.806060612,0.919738293,532,532,128,128,14
3,0.362067282,0.827455461,0.918455541,2182,2182,455,455,0.35964036,0.837878764,0.922825933,553,553,107,107,14
4,0.335276216,0.838452816,0.928462267,2211,2211,426,426,0.322540402,0.846969724,0.936192513,559,559,101,101,14
5,0.350521445,0.832385302,0.923026025,2195,2195,442,442,0.318608433,0.850000024,0.936429024,561,561,99,99,14
6,0.323371559,0.844899535,0.934303522,2228,2228,409,409,0.314100385,0.845454574,0.937254369,558,558,102,102,14
7,0.307318062,0.853621542,0.940732419,2251,2251,386,386,0.335349351,0.850000024,0.930508554,561,561,99,99,14
8,0.296197921,0.861964345,0.944793761,2273,2273,364,364,0.311163455,0.857575774,0.940976799,566,566,94,94,14
9,0.294762462,0.8566553,0.945483863,2259,2259,378,378,0.315269232,0.848484874,0.936953723,560,560,100,100,14
0,0.860810101,0.574516475,0.625289679,1515,1515,1122,1122,0.57134074,0.619696975,0.728119791,409,409,251,251,12
1,0.492723405,0.771331072,0.846666932,2034,2034,603,603,0.497376323,0.806060612,0.890797734,532,532,128,128,12
2,0.448777825,0.782707632,0.869962335,2064,2064,573,573,0.45633918,0.815151513,0.881526649,538,538,122,122,12
3,0.397671938,0.812286675,0.89859724,2142,2142,495,495,0.354915559,0.837878764,0.920003474,553,553,107,107,12
4,0.371691078,0.821387947,0.911828876,2166,2166,471,471,0.357367992,0.819696963,0.924639583,541,541,119,119,12
5,0.382947266,0.815699637,0.90782547,2151,2151,486,486,0.374110818,0.786363661,0.912068367,519,519,141,141,12
6,0.367998987,0.82252562,0.912996233,2169,2169,468,468,0.34757486,0.834848464,0.928599715,551,551,109,109,12
7,0.354519308,0.822146356,0.918950975,2168,2168,469,469,0.362544984,0.813636363,0.917958021,537,537,123,123,12
8,0.381588638,0.821767151,0.90600425,2167,2167,470,470,0.350105733,0.807575762,0.92146349,533,533,127,127,12
9,0.390948206,0.816458106,0.90753448,2153,2153,484,484,0.335886866,0.821212113,0.92906791,542,542,118,118,12
0,0.767667949,0.593856633,0.619106591,1566,1566,1071,1071,0.56369102,0.75757575,0.804218292,500,500,160,160,10
1,0.455488086,0.78991276,0.866799712,2083,2083,554,554,0.36219734,0.819696963,0.922592938,541,541,119,119,10
2,0.368368685,0.826317787,0.913029373,2179,2179,458,458,0.345908791,0.825757563,0.923061252,545,545,115,115,10
3,0.371926576,0.81266588,0.911017895,2143,2143,494,494,0.343516469,0.824242413,0.925207853,544,544,116,116,10
4,0.364145815,0.819491863,0.914917052,2161,2161,476,476,0.361656606,0.830303013,0.923499763,548,548,112,112,10
5,0.364837795,0.815320432,0.915613294,2150,2150,487,487,0.351641297,0.834848464,0.926424503,551,551,109,109,10
6,0.34593308,0.830489218,0.923445463,2190,2190,447,447,0.371720493,0.798484862,0.911052585,527,527,133,133,10
7,0.346549481,0.83466059,0.924327254,2201,2201,436,436,0.367785871,0.819696963,0.918018758,541,541,119,119,10
8,0.368288666,0.827455461,0.914877594,2182,2182,455,455,0.351023734,0.825757563,0.929776132,545,545,115,115,10
9,0.341163367,0.835419059,0.925495505,2203,2203,434,434,0.332660943,0.821212113,0.927302599,542,542,118,118,10
